Answer,Attempts,Correct,Accuracy
CARSON,10.0,10,1.0
TSAI,9.25,9,0.972972972972973
KURALT,5.0,5,1.0
RENEE,7.0,6,0.8571428571428571
ANA,7.5,6,0.8
ARIANA,13.0,13,1.0
CRAB,10.0,10,1.0
AGETEN,4.0,4,1.0
EKE,8.0,8,1.0
DIURNAL,7.0,7,1.0
CUB,8.0,8,1.0
OLEELO,5.0,5,1.0
IBM,10.0,10,1.0
ANI,9.0,9,1.0
HOHO,6.0,6,1.0
ETTA,7.0,7,1.0
UTE,5.0,5,1.0
TEAS,6.0,6,1.0
CURT,7.0,7,1.0
PICA,11.75,11,0.9361702127659575
TASSEL,4.0,3,0.75
OTIS,12.0,10,0.8333333333333334
ARETHA,6.0,6,1.0
ING,7.0,7,1.0
NOIR,11.0,8,0.7272727272727273
YENS,10.0,10,1.0
ACME,6.0,5,0.8333333333333334
SHAG,6.0,6,1.0
PRADA,12.0,12,1.0
ASPS,4.0,4,1.0
OWN,8.0,8,1.0
OBERON,9.0,8,0.8888888888888888
ARE,6.0,6,1.0
SID,11.0,11,1.0
LIV,7.0,7,1.0
HALL,6.0,6,1.0
ILIAD,7.0,7,1.0
RICCI,9.0,9,1.0
PAT,5.0,5,1.0
ELL,5.0,5,1.0
CLARA,6.0,6,1.0
ABIE,7.0,7,1.0
NASA,10.0,9,0.9
AAMILNE,3.0,3,1.0
ENNUI,7.0,7,1.0
BLONDEVENUS,10.0,8,0.8
UTA,5.0,4,0.8
ELITE,8.0,8,1.0
ERIE,7.0,6,0.8571428571428571
AMA,6.0,6,1.0
RIRI,14.0,14,1.0
MAY,9.25,9,0.972972972972973
NADIA,7.75,7,0.9032258064516128
LADD,6.0,5,0.8333333333333334
BIGMARY,7.0,7,1.0
ADA,11.5,9,0.782608695652174
MONAE,5.0,4,0.8
EVERANDANON,11.0,11,1.0
BROSNAN,11.0,10,0.9090909090909092
ASTAIRE,14.0,14,1.0
GOOSELIVER,8.0,6,0.75
ASHES,14.0,13,0.9285714285714286
OPERAS,9.0,9,1.0
ALI,11.0,11,1.0
ALBS,5.0,5,1.0
CHANG,13.0,12,0.9230769230769231
SICS,5.0,3,0.6
OILER,10.0,10,1.0
ALF,9.0,9,1.0
USO,8.0,4,0.5
MASSE,15.0,15,1.0
HIHO,4.0,4,1.0
HOBNOB,12.25,12,0.979591836734694
CPA,7.0,6,0.8571428571428571
NSA,6.0,5,0.8333333333333334
HALE,8.5,8,0.9411764705882352
OTOE,4.0,4,1.0
SARAS,11.0,11,1.0
FIEF,7.0,7,1.0
CONDO,7.25,7,0.9655172413793104
TRICK,10.75,10,0.9302325581395348
INTRIGUE,6.75,5,0.7407407407407407
ANKARA,8.0,6,0.75
INSP,13.0,13,1.0
ETTE,9.0,8,0.8888888888888888
PEAT,11.0,11,1.0
FRIAR,7.0,7,1.0
OSCAR,10.0,10,1.0
NOBEL,8.0,7,0.875
ARABIC,10.0,10,1.0
OMANI,4.25,4,0.9411764705882352
NEVA,9.0,9,1.0
DUEDATE,9.25,5,0.5405405405405406
TERRIER,8.0,4,0.5
HAITI,4.0,3,0.75
ANKH,9.0,9,1.0
TEAR,11.0,11,1.0
BRAC,9.0,8,0.8888888888888888
KLEE,12.0,12,1.0
EMILE,12.0,10,0.8333333333333334
SUFI,5.25,4,0.7619047619047619
SKOSH,10.0,7,0.7
LABRADOR,10.0,9,0.9
STAIRS,9.25,8,0.8648648648648649
IVEY,7.0,5,0.7142857142857143
BEGOT,9.0,8,0.8888888888888888
EVIAN,15.0,14,0.9333333333333332
LENYA,14.0,11,0.7857142857142857
FRESCO,10.5,8,0.7619047619047619
SOUP,11.0,10,0.9090909090909092
NATE,7.0,7,1.0
ODE,11.0,11,1.0
ACLU,10.5,10,0.9523809523809524
OUTEAT,15.0,15,1.0
PSAS,9.0,8,0.8888888888888888
MERS,10.0,9,0.9
ELENA,11.0,8,0.7272727272727273
ELIS,4.75,4,0.8421052631578947
ASCOT,10.0,9,0.9
DSO,9.0,5,0.5555555555555556
AGA,14.0,14,1.0
OBESE,11.0,10,0.9090909090909092
SMITS,8.0,7,0.875
SOME,5.0,5,1.0
SERAPE,8.5,5,0.5882352941176471
MEG,7.0,6,0.8571428571428571
ADAGIO,5.0,4,0.8
URAL,8.25,5,0.6060606060606061
ESPY,6.0,6,1.0
HANS,6.0,6,1.0
EUCHRE,4.75,4,0.8421052631578947
MIA,9.75,9,0.9230769230769232
ROLF,5.0,3,0.6
NICENE,11.0,11,1.0
NCO,5.5,4,0.7272727272727273
WHIGS,4.75,4,0.8421052631578947
ALCOA,7.75,5,0.6451612903225806
SNOG,5.0,5,1.0
NOLTE,7.25,5,0.6896551724137931
ENID,12.5,9,0.72
JILT,4.25,4,0.9411764705882352
SINAI,10.0,8,0.8
ELLIS,4.0,4,1.0
ELS,4.0,4,1.0
GOYA,10.0,10,1.0
LULU,10.5,9,0.8571428571428571
LOUPE,5.25,3,0.5714285714285714
CASED,6.0,6,1.0
UMA,9.75,6,0.6153846153846154
SHIA,6.75,5,0.7407407407407407
AMI,7.0,7,1.0
KEN,7.75,7,0.9032258064516129
MIB,5.0,5,1.0
ANEMIA,11.75,6,0.5106382978723404
RAJA,4.0,3,0.75
SABLES,7.25,5,0.6896551724137931
NEREID,9.75,9,0.9230769230769232
CAVORT,5.0,4,0.8
MEHTA,9.25,6,0.6486486486486487
